title,script_available,estimated_word_count,dialogue_percentage,action_description_percentage,unique_character_count,avg_dialogue_length,longest_monologue_words,scene_count,avg_scene_length_words,sentiment_mean,sentiment_std,emotional_arc_type,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,named_entity_density,humor_indicator,romance_indicator,violence_indicator,script_genre_primary,script_genre_secondary
"Monsters, Inc.",True,9659,67.1,32.9,28,11.1,190,95,101.7,-0.014,0.312,steady,0.149,0.298,0,0.277,8.77,8.79,7.3,9.0,4.5,Animation,
Up,True,11983,66.8,33.2,21,10.5,145,67,178.9,-0.262,0.344,fall,0.08,0.134,1,0.447,10.47,6.71,4.5,5.9,1.0,Animation,
WALL-E,True,9495,65.8,34.2,27,10.6,148,73,130.1,-0.056,0.331,steady,0.08,0.175,1,0.44,10.4,10.33,7.8,1.0,1.0,Animation,
Ratatouille,False,13509,58.1,41.9,16,7.7,117,76,177.8,0.05,0.31,steady,0.08,0.187,1,0.349,9.49,10.74,6.1,3.6,1.9,Animation,
The Incredibles,True,11268,67.7,32.3,20,8.3,133,80,140.9,0.031,0.376,rise-fall,0.08,0.224,1,0.347,9.47,11.24,6.4,4.7,1.1,Animation,
A Bug's Life,False,10184,80.0,20.0,17,9.7,158,47,216.7,-0.035,0.353,fall-rise,0.106,0.221,0,0.254,8.54,10.33,4.6,7.1,3.3,Animation,
Finding Nemo,True,10362,61.1,38.9,22,8.7,158,65,159.4,0.204,0.383,rise-fall,0.08,0.05,1,0.412,10.12,12.72,5.8,3.0,1.5,Animation,
Coco,False,13077,75.6,24.4,19,12.2,174,79,165.5,0.112,0.349,steady,0.08,0.11,0,0.54,11.4,14.19,9.4,4.5,1.0,Animation,
Encanto,False,11058,60.2,39.8,19,11.5,193,86,128.6,-0.024,0.329,steady,0.08,0.107,1,0.484,10.84,9.15,6.3,4.6,2.1,Animation,
Mulan,False,13260,64.5,35.5,31,6.8,95,55,241.1,0.122,0.223,steady,0.08,0.126,0,0.445,10.45,10.15,6.9,2.4,1.6,Animation,
The Jungle Book,True,12164,80.0,20.0,23,9.6,145,86,141.5,0.031,0.244,steady,0.08,0.065,0,0.25,8.5,13.37,8.7,7.7,5.9,Animation,
101 Dalmatians,False,15644,73.3,26.7,16,5.8,73,63,248.3,0.047,0.214,steady,0.113,0.185,0,0.3,9.0,13.01,9.9,6.4,3.9,Animation,
The Lion King (1994),True,11800,65.0,35.0,22,8.8,95,58,204.0,0.08,0.35,fall-rise,0.28,0.19,0,0.4,7.6,3.5,6.0,3.0,6.0,Animation,Drama
The Little Mermaid,True,10844,74.8,25.2,30,10.4,170,80,135.6,0.174,0.281,steady,0.08,0.151,0,0.25,8.5,11.68,6.1,6.9,1.2,Animation,
Beauty and the Beast (1991),False,12489,69.7,30.3,27,10.0,146,61,204.7,-0.131,0.155,fall,0.08,0.275,0,0.355,9.55,8.63,5.1,2.3,2.8,Animation,
Aladdin,True,12426,62.2,37.8,22,11.9,191,80,155.3,0.239,0.171,steady,0.08,0.077,0,0.401,10.01,7.72,7.1,4.3,1.5,Animation,
Snow White and the Seven Dwarfs,True,15008,52.0,48.0,25,10.1,131,89,168.6,0.316,0.2,rise,0.08,0.154,1,0.424,10.24,12.71,8.1,6.9,1.2,Animation,
Cinderella,False,11662,68.0,32.0,19,11.4,223,76,153.5,0.062,0.276,steady,0.08,0.204,0,0.371,9.71,6.62,8.8,1.0,1.0,Animation,
The Sleeping Beauty,True,8820,68.0,32.0,23,12.7,212,60,147.0,0.069,0.255,steady,0.08,0.233,0,0.296,8.96,10.21,6.5,6.5,1.9,Animation,
Tangled,True,13256,75.3,24.7,23,6.5,114,71,186.7,0.023,0.288,steady,0.08,0.05,0,0.435,10.35,6.21,9.1,3.3,1.9,Animation,
Wreck-It Ralph,True,14035,63.5,36.5,30,9.6,154,86,163.2,0.275,0.352,rise-fall,0.08,0.198,1,0.368,9.68,8.4,6.5,2.8,2.0,Animation,
Big Hero 6,True,14170,63.5,36.5,24,12.6,213,70,202.4,0.24,0.239,rise,0.091,0.35,0,0.345,9.45,7.72,7.3,2.4,2.2,Animation,
Moana,True,14606,62.9,37.1,16,8.1,151,78,187.3,0.322,0.317,rise,0.08,0.05,1,0.327,9.27,11.8,7.3,1.0,1.5,Animation,
Zootopia,False,15464,63.7,36.3,24,9.6,187,84,184.1,0.323,0.154,steady,0.08,0.147,1,0.314,9.14,14.57,6.0,3.7,1.9,Animation,
Frozen 2,False,12144,69.1,30.9,19,8.5,169,68,178.6,0.222,0.39,rise-fall,0.111,0.304,1,0.476,10.76,5.91,4.8,8.5,4.1,Animation,
Raya and the Last Dragon,True,12428,60.1,39.9,23,9.9,151,53,234.5,-0.03,0.277,steady,0.102,0.139,1,0.349,9.49,13.51,7.5,4.6,2.2,Animation,
Turning Red,False,11265,80.0,20.0,17,9.7,185,77,146.3,0.246,0.346,rise,0.096,0.106,0,0.338,9.38,13.82,8.6,5.5,3.7,Animation,
Lightyear,False,12344,73.3,26.7,17,10.2,143,77,160.3,-0.204,0.257,steady,0.08,0.3,0,0.372,9.72,6.07,6.8,4.5,2.6,Animation,
Elemental,True,13813,69.3,30.7,29,10.7,187,67,206.2,0.019,0.251,steady,0.08,0.05,1,0.384,9.84,11.21,4.8,6.4,3.2,Animation,
Wish,False,11803,67.9,32.1,18,7.3,112,55,214.6,0.053,0.332,steady,0.08,0.27,1,0.338,9.38,7.73,3.9,7.3,1.8,Animation,
DreamWorks Dragons 2,False,11828,63.2,36.8,26,8.5,162,61,193.9,-0.02,0.286,steady,0.08,0.256,1,0.288,8.88,9.73,7.9,3.1,1.0,Animation,
Madagascar 3,True,13061,67.2,32.8,29,9.5,124,84,155.5,0.154,0.198,rise,0.08,0.066,0,0.362,9.62,10.58,8.1,5.5,1.4,Animation,
Kung Fu Panda 3,False,13336,68.6,31.4,23,6.1,95,58,229.9,0.323,0.377,fall-rise,0.08,0.103,1,0.3,9.0,7.42,4.4,3.9,1.3,Animation,
Rise of the Guardians,False,14255,65.0,35.0,25,8.1,119,57,250.1,0.038,0.424,fall-rise,0.08,0.208,0,0.287,8.87,6.24,8.3,4.3,2.1,Animation,
The Croods,True,9699,78.6,21.4,27,10.7,195,65,149.2,0.442,0.332,steady,0.116,0.164,1,0.491,10.91,11.44,8.3,7.3,2.6,Animation,
The Croods: A New Age,False,10452,62.0,38.0,22,9.4,153,58,180.2,0.193,0.19,rise,0.08,0.147,1,0.396,9.96,7.04,6.2,1.0,1.2,Animation,
Megamind,True,14076,74.1,25.9,29,11.4,139,88,160.0,-0.152,0.385,rise-fall,0.08,0.232,1,0.358,9.58,14.12,8.1,1.0,2.3,Animation,
Trolls,True,11061,76.8,23.2,23,6.7,93,69,160.3,0.256,0.323,rise,0.088,0.303,1,0.49,10.9,11.63,7.6,8.5,4.5,Animation,
Trolls World Tour,True,13570,54.4,45.6,20,8.2,124,60,226.2,-0.034,0.268,steady,0.11,0.133,1,0.466,10.66,11.69,6.6,1.0,3.7,Animation,
Kung Fu Panda,True,10055,80.0,20.0,26,11.7,213,64,157.1,0.349,0.294,rise,0.105,0.154,0,0.279,8.79,5.57,4.7,2.6,3.3,Animation,
Kung Fu Panda 2,True,11715,64.0,36.0,16,10.9,216,71,165.0,0.148,0.269,steady,0.133,0.05,1,0.297,8.97,11.67,7.7,10.0,4.6,Animation,
How to Train Your Dragon,False,12414,57.5,42.5,31,7.3,142,69,179.9,0.381,0.357,fall-rise,0.08,0.148,0,0.432,10.32,12.96,6.0,4.7,3.2,Animation,
How to Train Your Dragon 2,False,12758,69.9,30.1,24,8.1,137,79,161.5,0.02,0.259,steady,0.08,0.204,1,0.391,9.91,12.65,8.5,2.0,2.5,Animation,
How to Train Your Dragon 3,True,11453,72.2,27.8,28,9.7,167,83,138.0,-0.139,0.374,rise-fall,0.1,0.101,1,0.369,9.69,7.38,8.1,1.0,1.8,Animation,
Madagascar,True,10967,78.1,21.9,18,9.6,152,53,206.9,-0.167,0.362,rise-fall,0.138,0.262,1,0.461,10.61,12.47,10.0,1.0,2.9,Animation,
Madagascar 2,False,13374,75.6,24.4,20,10.2,153,68,196.7,-0.131,0.243,steady,0.08,0.11,0,0.387,9.87,8.07,6.8,1.5,1.6,Animation,
Despicable Me,True,14271,49.7,50.3,16,9.6,129,92,155.1,0.113,0.293,steady,0.08,0.292,1,0.412,10.12,10.5,8.2,3.8,1.0,Animation,
Despicable Me 2,False,13809,68.8,31.2,21,10.3,173,83,166.4,0.035,0.258,steady,0.11,0.24,0,0.391,9.91,7.75,7.6,2.2,4.0,Animation,
Despicable Me 3,True,12359,79.6,20.4,16,9.0,161,65,190.1,0.148,0.378,fall-rise,0.08,0.074,0,0.314,9.14,11.32,5.8,5.9,1.0,Animation,
The Secret Life of Pets,True,9844,51.9,48.1,22,8.1,140,72,136.7,-0.01,0.331,steady,0.08,0.092,1,0.506,11.06,9.57,5.2,5.8,2.1,Animation,
Sing,False,9073,63.9,36.1,21,9.6,164,61,148.7,0.158,0.156,rise,0.08,0.121,0,0.338,9.38,11.65,6.1,7.1,2.8,Animation,
Sing 2,False,13819,56.3,43.7,20,8.8,158,71,194.6,0.057,0.337,steady,0.08,0.117,1,0.355,9.55,5.88,7.2,1.0,1.6,Animation,
Illumination's Pets United,False,10344,50.3,49.7,19,12.0,226,70,147.8,0.065,0.354,fall-rise,0.08,0.124,1,0.421,10.21,7.12,3.8,5.1,2.5,Animation,
Hop,True,12130,61.5,38.5,25,9.9,143,57,212.8,0.125,0.303,steady,0.08,0.221,1,0.336,9.36,6.22,7.8,6.5,1.7,Animation,
Dr. Seuss' Horton Hears a Who!,True,12362,52.3,47.7,30,10.0,188,50,247.3,0.268,0.372,fall-rise,0.08,0.125,1,0.383,9.83,14.95,5.5,3.8,1.0,Animation,
Ice Age,True,11449,60.5,39.5,18,7.8,126,51,224.5,0.217,0.32,rise,0.131,0.25,0,0.347,9.47,9.05,5.9,5.7,2.8,Animation,
Ice Age: The Meltdown,True,10024,68.0,32.0,28,5.0,91,90,111.4,0.199,0.317,rise,0.08,0.179,1,0.25,8.5,6.1,6.9,5.4,1.1,Animation,
Ice Age: Dawn of the Dinosaurs,True,11959,74.6,25.4,19,10.5,165,53,225.6,-0.162,0.398,rise-fall,0.08,0.217,1,0.367,9.67,13.09,5.6,4.4,1.4,Animation,
Ice Age: Continental Drift,True,13213,67.6,32.4,27,11.7,182,74,178.6,0.041,0.361,rise-fall,0.087,0.187,0,0.367,9.67,11.8,5.9,8.3,4.1,Animation,
Ice Age: Collision Course,False,10796,66.9,33.1,29,6.3,108,60,179.9,0.212,0.329,steady,0.08,0.111,0,0.344,9.44,5.69,8.9,1.8,1.0,Animation,
Rio,True,10828,72.7,27.3,26,10.0,193,95,114.0,0.143,0.298,steady,0.08,0.161,0,0.376,9.76,10.5,6.4,2.1,2.1,Animation,
Rio 2,True,12315,60.9,39.1,18,11.0,190,78,157.9,0.026,0.304,steady,0.08,0.081,0,0.319,9.19,14.78,7.8,5.5,2.5,Animation,
Rango,True,11779,54.7,45.3,21,8.3,164,55,214.2,0.074,0.202,steady,0.08,0.244,0,0.399,9.99,11.12,6.5,6.1,2.6,Animation,
The Book of Life,True,10210,73.0,27.0,25,8.0,137,83,123.0,-0.049,0.315,steady,0.08,0.101,1,0.396,9.96,10.39,6.7,7.7,1.7,Animation,
Curious George,True,13240,66.8,33.2,19,8.7,137,57,232.3,0.081,0.405,fall-rise,0.08,0.198,0,0.399,9.99,8.92,8.2,6.3,1.0,Animation,
Charlotte's Web,True,11172,52.8,47.2,29,10.0,165,94,118.9,0.261,0.362,rise-fall,0.08,0.101,1,0.481,10.81,11.95,10.0,5.0,1.2,Animation,
Stuart Little,True,10643,65.7,34.3,16,9.3,115,77,138.2,0.185,0.207,rise,0.08,0.329,1,0.485,10.85,12.86,6.5,1.3,1.0,Animation,
Bumblebee,True,15657,53.5,46.5,22,7.5,99,78,200.7,0.331,0.414,rise-fall,0.182,0.206,3,0.336,9.36,7.59,1.1,3.6,7.3,Action,
Transformers,True,11394,47.1,52.9,23,9.8,155,89,128.0,0.011,0.232,steady,0.174,0.1,4,0.317,9.17,12.51,1.0,4.8,7.3,Action,
Transformers: Revenge of the Fallen,True,11919,41.0,59.0,29,6.0,109,69,172.7,-0.032,0.12,steady,0.167,0.239,2,0.344,9.44,5.22,3.3,3.3,6.4,Action,
Transformers: Dark of the Moon,True,10687,42.7,57.3,26,9.5,163,73,146.4,-0.123,0.317,steady,0.188,0.114,2,0.401,10.01,11.84,3.9,3.6,8.6,Action,
Transformers: Age of Extinction,True,13930,52.1,47.9,19,8.0,123,74,188.3,-0.053,0.264,steady,0.169,0.17,2,0.25,8.5,12.49,7.9,6.8,7.9,Action,
Transformers: The Last Knight,True,13630,39.0,61.0,20,10.6,200,88,154.9,0.121,0.309,steady,0.13,0.14,4,0.378,9.78,14.47,5.0,2.3,7.1,Action,
Guardians of the Galaxy,True,11902,45.7,54.3,20,11.1,203,60,198.4,-0.239,0.215,fall,0.173,0.05,5,0.487,10.87,12.93,5.2,4.5,8.1,Action,
Guardians of the Galaxy Vol. 2,True,14877,53.9,46.1,25,11.4,209,80,186.0,0.016,0.259,steady,0.099,0.136,3,0.403,10.03,13.94,4.6,2.7,3.9,Action,
Guardians of the Galaxy Vol. 3,True,12175,40.0,60.0,26,12.0,239,57,213.6,0.074,0.206,steady,0.212,0.111,5,0.267,8.67,11.87,5.4,4.9,8.0,Action,
Thor,False,14370,36.8,63.2,23,11.6,221,54,266.1,0.242,0.339,steady,0.126,0.1,4,0.259,8.59,12.12,4.5,2.7,6.5,Action,
Thor: The Dark World,True,12794,39.6,60.4,19,11.8,195,79,162.0,0.173,0.242,rise,0.221,0.21,5,0.331,9.31,8.25,3.2,2.0,9.1,Action,
Thor: Ragnarok,True,12583,38.0,62.0,20,13.0,193,87,144.6,0.003,0.264,steady,0.189,0.203,3,0.402,10.02,13.74,6.6,5.9,8.2,Action,
Iron Man,False,11135,38.2,61.8,22,11.0,203,65,171.3,0.078,0.248,steady,0.102,0.223,3,0.269,8.69,13.39,3.8,6.2,4.7,Action,
Iron Man 2,False,14524,52.0,48.0,20,12.8,180,71,204.6,-0.007,0.346,steady,0.172,0.232,5,0.525,11.25,5.64,9.5,7.8,8.6,Action,
Captain America: The First Avenger,True,14506,38.4,61.6,31,11.6,162,69,210.2,-0.148,0.295,fall,0.23,0.258,2,0.424,10.24,13.79,9.5,5.3,8.1,Action,
Captain America: The Winter Soldier,False,12322,25.0,75.0,26,8.7,145,84,146.7,0.342,0.199,rise,0.167,0.151,3,0.414,10.14,12.87,1.3,2.7,6.5,Action,
Ant-Man,True,14135,33.0,67.0,25,9.9,118,71,199.1,0.01,0.264,steady,0.165,0.05,2,0.286,8.86,9.73,5.0,1.0,7.1,Action,
Ant-Man and the Wasp,False,17972,25.0,75.0,30,8.1,126,64,280.8,-0.121,0.234,fall,0.191,0.154,2,0.25,8.5,10.07,3.6,2.0,7.5,Action,
Black Widow,False,12224,61.0,39.0,29,10.1,179,51,239.7,0.214,0.241,rise,0.2,0.15,2,0.355,9.55,11.65,2.0,5.4,8.9,Action,
Captain Marvel,True,15537,35.3,64.7,18,9.2,157,79,196.7,0.126,0.284,steady,0.269,0.156,4,0.381,9.81,11.38,9.4,3.2,8.8,Action,
Spider-Man: Homecoming,True,14070,54.8,45.2,28,8.6,166,63,223.3,0.173,0.387,fall-rise,0.26,0.218,3,0.369,9.69,9.3,8.8,6.1,10.0,Action,
Spider-Man: Far From Home,True,13021,32.6,67.4,19,5.6,108,48,271.3,-0.024,0.133,steady,0.18,0.307,5,0.272,8.72,11.88,7.9,5.9,6.6,Action,
The Amazing Spider-Man,True,11764,39.5,60.5,30,10.1,148,68,173.0,-0.027,0.369,rise-fall,0.08,0.278,4,0.263,8.63,10.8,4.1,4.3,4.5,Action,
The Amazing Spider-Man 2,True,10318,42.3,57.7,23,12.4,161,65,158.8,0.241,0.242,steady,0.099,0.274,3,0.393,9.93,14.84,2.1,4.9,7.6,Action,
Spider-Man 3,True,10672,40.9,59.1,21,10.2,166,77,138.6,0.155,0.136,steady,0.159,0.111,2,0.396,9.96,10.07,2.7,5.4,8.0,Action,
Spider-Man 2,True,11265,48.3,51.7,25,10.5,209,73,154.3,0.215,0.437,rise-fall,0.193,0.124,2,0.319,9.19,13.53,5.3,5.1,7.2,Action,
Spider-Man,True,12429,58.6,41.4,23,8.8,109,65,191.2,0.375,0.282,steady,0.206,0.27,5,0.485,10.85,10.89,1.0,3.9,8.5,Action,
Venom,True,12427,32.9,67.1,28,10.7,202,69,180.1,0.123,0.322,steady,0.188,0.224,2,0.308,9.08,7.0,7.7,4.2,7.7,Action,
Venom: Let There Be Carnage,True,14568,40.1,59.9,31,7.9,125,83,175.5,0.222,0.218,steady,0.212,0.267,3,0.451,10.51,8.33,1.0,5.2,9.1,Action,
X-Men Origins: Wolverine,True,15676,56.5,43.5,22,10.4,194,60,261.3,0.112,0.214,steady,0.191,0.05,2,0.371,9.71,5.66,2.1,1.0,8.7,Action,
The Wolverine,False,13554,43.1,56.9,19,8.0,111,56,242.0,0.069,0.359,rise-fall,0.213,0.118,3,0.349,9.49,13.03,6.2,1.7,8.0,Action,
Logan,True,13023,50.3,49.7,18,10.0,167,86,151.4,-0.116,0.12,steady,0.133,0.198,2,0.344,9.44,11.37,1.0,7.2,5.8,Action,
X-Men: Days of Future Past,False,11547,26.4,73.6,31,9.6,170,56,206.2,0.031,0.203,steady,0.166,0.11,4,0.343,9.43,6.89,3.0,3.5,6.3,Action,
X-Men: The Last Stand,True,13841,48.9,51.1,25,11.5,214,72,192.2,-0.078,0.297,steady,0.179,0.05,4,0.488,10.88,14.36,6.8,1.0,6.7,Action,
X-Men: Apocalypse,True,14330,49.4,50.6,24,8.9,174,57,251.4,0.239,0.296,steady,0.186,0.05,2,0.369,9.69,13.66,6.8,3.9,8.8,Action,
X-Men: Dark Phoenix,True,12984,44.9,55.1,22,10.0,150,74,175.5,0.174,0.372,rise-fall,0.204,0.056,5,0.293,8.93,6.37,5.7,6.0,8.5,Action,
Deadpool,True,11359,33.3,66.7,25,7.7,110,63,180.3,0.056,0.283,steady,0.227,0.239,2,0.45,10.5,5.15,8.3,2.7,10.0,Action,
Deadpool 2,False,8887,39.7,60.3,18,10.3,161,70,127.0,0.162,0.186,steady,0.201,0.111,2,0.28,8.8,6.32,4.6,2.2,7.6,Action,
Wonder Woman,True,10755,34.4,65.6,22,8.2,112,81,132.8,0.368,0.431,rise-fall,0.232,0.234,3,0.371,9.71,9.58,2.3,5.7,9.5,Action,
