rank,title,year,worldwide_gross,domestic_gross,budget,genre,franchise,director,studio,is_sequel,is_animated
130,Iron Man,2008,585366247,318412291,140000000,Action,MCU,Jon Favreau,Marvel Studios,False,False
131,Iron Man 2,2010,623933331,312057175,200000000,Action,MCU,Jon Favreau,Marvel Studios,True,False
132,Captain America: The First Avenger,2011,370569774,176654505,140000000,Action,MCU,Joe Johnston,Marvel Studios,False,False
133,Captain America: The Winter Soldier,2014,714766305,259759742,170000000,Action,MCU,Anthony & Joe Russo,Marvel Studios,True,False
134,Ant-Man,2015,519311965,180202305,130000000,Action,MCU,Peyton Reed,Marvel Studios,False,False
135,Ant-Man and the Wasp,2018,622706314,216648740,195000000,Action,MCU,Peyton Reed,Marvel Studios,True,False
136,Black Widow,2021,379826451,183635505,200000000,Action,MCU,Cate Shortland,Marvel Studios,False,False
137,Captain Marvel,2019,1128274794,426471595,175000000,Action,MCU,Anna Boden,Marvel Studios,False,False
138,Spider-Man: Homecoming,2017,880166924,334201140,175000000,Action,Spider-Man,Jon Watts,Sony,False,False
139,Spider-Man: Far From Home,2019,1131927996,390532085,160000000,Action,Spider-Man,Jon Watts,Sony,True,False
140,The Amazing Spider-Man,2012,758225437,292587330,230000000,Action,Spider-Man,Marc Webb,Sony,False,False
141,The Amazing Spider-Man 2,2014,709037765,321557177,255000000,Action,Spider-Man,Marc Webb,Sony,True,False
142,Spider-Man 3,2007,891871626,336530303,258000000,Action,Spider-Man,Sam Raimi,Sony,True,False
143,Spider-Man 2,2004,784009778,373585825,200000000,Action,Spider-Man,Sam Raimi,Sony,True,False
144,Spider-Man,2002,822103006,407022728,139000000,Action,Spider-Man,Sam Raimi,Sony,False,False
145,Venom,2018,856024408,213311220,100000000,Action,Marvel,Ruben Fleischer,Sony,False,False
146,Venom: Let There Be Carnage,2021,502122430,213207118,200000000,Action,Marvel,Andy Serkis,Sony,True,False
147,X-Men Origins: Wolverine,2009,373062864,179883157,150000000,Action,X-Men,Gavin Hood,20th Century Fox,False,False
148,The Wolverine,2013,414031218,132560482,120000000,Action,X-Men,James Mangold,20th Century Fox,True,False
149,Logan,2017,619021436,226277068,97000000,Action,X-Men,James Mangold,20th Century Fox,True,False
150,X-Men: Days of Future Past,2014,747862775,233921534,165000000,Action,X-Men,Bryan Singer,20th Century Fox,True,False
151,X-Men: The Last Stand,2006,604753969,234362141,210000000,Action,X-Men,Brett Ratner,20th Century Fox,True,False
152,X-Men: Apocalypse,2016,543933666,155009746,178000000,Action,X-Men,Bryan Singer,20th Century Fox,True,False
153,X-Men: Dark Phoenix,2019,252751822,65017516,200000000,Action,X-Men,Simon Kinberg,20th Century Fox,True,False
154,Deadpool,2016,783112979,363070709,58000000,Action,X-Men,Tim Miller,20th Century Fox,False,False
155,Deadpool 2,2018,785046920,324582498,110000000,Action,X-Men,David Leitch,20th Century Fox,True,False
156,Wonder Woman,2017,822007722,412563408,149000000,Action,DC Extended,Patty Jenkins,Warner Bros,False,False
157,Wonder Woman 1984,2020,822007722,169950241,200000000,Action,DC Extended,Patty Jenkins,Warner Bros,True,False
158,Batman v Superman: Dawn of Justice,2016,873260194,330360194,250000000,Action,DC Extended,Zack Snyder,Warner Bros,True,False
159,Superman Returns,2006,391081192,200081192,270000000,Action,Superman,Bryan Singer,Warner Bros,True,False
160,Man of Steel,2013,668045518,291045518,225000000,Action,DC Extended,Zack Snyder,Warner Bros,False,False
161,The Dark Knight,2008,1005064122,534858444,185000000,Action,Batman,Christopher Nolan,Warner Bros,True,False
162,The Dark Knight Rises,2012,1081041287,448139099,250000000,Action,Batman,Christopher Nolan,Warner Bros,True,False
163,Batman Begins,2005,375147760,206853925,150000000,Action,Batman,Christopher Nolan,Warner Bros,False,False
164,Justice League,2017,657924571,229024910,300000000,Action,DC Extended,Zack Snyder,Warner Bros,True,False
165,Aquaman and the Lost Kingdom,2023,439346305,134396305,250000000,Action,DC Extended,James Wan,Warner Bros,True,False
166,Shazam! Fury of the Gods,2023,288820061,58820061,200000000,Action,DC Extended,David F. Sandberg,Warner Bros,True,False
167,The Flash,2023,104822712,55313393,200000000,Action,DC Extended,Andy Muschietti,Warner Bros,False,False
168,Eternals,2021,402115086,164370079,300000000,Action,MCU,Chloé Zhao,Marvel Studios,False,False
169,Shang-Chi and the Legend of the Ten Rings,2021,432242351,224543292,150000000,Action,MCU,Destin Daniel Cretton,Marvel Studios,False,False
170,Black Panther: Wakanda Forever,2022,859160608,453823998,250000000,Action,MCU,Ryan Coogler,Marvel Studios,True,False
172,The Mummy,1999,416401889,135703889,80000000,Action,Universal Monsters,Stephen Sommers,Universal,False,False
173,The Mummy Returns,2001,429946661,202007754,130000000,Action,Universal Monsters,Stephen Sommers,Universal,True,False
174,The Mummy: Tomb of the Dragon Emperor,2008,407453881,102368143,145000000,Action,Universal Monsters,Rob Cohen,Universal,True,False
175,Jurassic Park,1993,1038668406,402453156,63000000,Action,Jurassic,Steven Spielberg,Universal,False,False
176,Jurassic Park III,2001,368875760,181171875,93000000,Action,Jurassic,Joe Johnston,Universal,True,False
177,The Lost World: Jurassic Park,1997,618638999,229984375,100000000,Action,Jurassic,Steven Spielberg,Universal,True,False
178,Jurassic World: Fallen Kingdom,2018,1310413368,417719262,170000000,Action,Jurassic,J.A. Bayona,Universal,True,False
179,Jurassic World Dominion,2022,1003715284,376388819,165000000,Action,Jurassic,Colin Trevorrow,Universal,True,False
180,Godzilla,2014,529076069,200124928,160000000,Action,Godzilla,Gareth Edwards,Warner Bros,False,False
181,Godzilla: King of the Monsters,2019,384820245,110552940,200000000,Action,Godzilla,Michael Dougherty,Warner Bros,True,False
182,Godzilla vs. Kong,2021,470099918,196352122,200000000,Action,MonsterVerse,Adam Wingard,Warner Bros,True,False
183,Godzilla x Kong: The New Empire,2024,567167020,196424340,140000000,Action,MonsterVerse,Adam Wingard,Warner Bros,True,False
184,King Kong,2005,562207947,218206409,207000000,Action,King Kong,Peter Jackson,Universal,False,False
185,Rampage,2018,428758310,126068106,160000000,Action,,Brad Peyton,Warner Bros,False,False
186,Dune,2021,636925760,231249487,165000000,Sci-Fi,Dune,Denis Villeneuve,Warner Bros,False,False
187,Dune: Part Two,2024,711419839,282091656,190000000,Sci-Fi,Dune,Denis Villeneuve,Warner Bros,True,False
188,Inception,2010,839292287,292587330,160000000,Sci-Fi,,Christopher Nolan,Warner Bros,False,False
189,Interstellar,2014,731210309,188020017,165000000,Sci-Fi,,Christopher Nolan,Paramount,False,False
191,Seabiscuit,2003,302576117,120087374,85000000,Drama,,Gary Ross,Universal,False,False
192,Apollo 13,1995,355237933,125522557,52000000,Drama,,Ron Howard,Universal,False,False
193,The Revenant,2015,532950695,183637430,135000000,Drama,,Alejandro González Iñárritu,20th Century Fox,False,False
194,Oppenheimer,2023,952060471,326471445,100000000,Drama,,Christopher Nolan,Universal,False,False
195,Killers of the Flower Moon,2023,156529284,59600961,200000000,Drama,,Martin Scorsese,Apple,False,False
196,The Wolf of Wall Street,2013,392002827,116715172,100000000,Crime,,Martin Scorsese,Paramount,False,False
197,Once Upon a Time in Hollywood,2019,405199931,142505000,95000000,Drama,,Quentin Tarantino,Sony,False,False
198,Pulp Fiction,1994,213959223,100973993,8000000,Crime,,Quentin Tarantino,Miramax,False,False
199,Inglourious Basterds,2009,321456983,120540760,70000000,War,,Quentin Tarantino,Universal,False,False
200,The Hateful Eight,2015,160369000,60725522,44000000,Crime,,Quentin Tarantino,Weinstein,False,False
201,The Big Lebowski,1998,47010480,,15000000,Comedy,,,PolyGram Filmed Entertainment,False,False
202,Donnie Darko,2001,7500000,,4500000,Fantasy,,,Flower Films,False,False
203,Fight Club,1999,100853753,,63000000,Drama,,,Fox 2000 Pictures,False,False
204,Office Space,1999,12800000,,10000000,Comedy,,,20th Century Fox,False,False
205,Blade Runner,1982,41722424,,28000000,Science Fiction,,,Shaw Brothers,False,False
206,The Thing,1982,19629760,,15000000,Horror,,,Universal Pictures,False,False
207,The Shawshank Redemption,1994,28341469,,25000000,Drama,,,Castle Rock Entertainment,False,False
208,Scott Pilgrim vs. the World,2010,51825248,,73000000,Action,,,Marc Platt Productions,False,False
209,Clerks,1994,3158707,,27575,Comedy,,,View Askew Productions,False,False
210,Pi,1998,3221152,,60000,Mystery,,,Harvest Filmworks,False,False
211,Memento,2000,40060108,,9000000,Mystery,,,Newmarket Films,False,False
212,Primer,2004,545436,,7000,Science Fiction,,,erbp,False,False
213,Moon,2009,9760104,,5000000,Science Fiction,,,Lunar Industries,False,False
214,The Man from Earth,2007,0,,200000,Science Fiction,,,Falling Sky Entertainment,False,False
215,Coherence,2013,139745,,50000,Thriller,,,Bellanova Films,False,False
216,Napoleon Dynamite,2004,46118097,,400000,Comedy,,,Napoleon Pictures,False,False
217,Mean Girls,2004,130195052,,17000000,Drama,,,Broadway Video,False,False
218,American Psycho,2000,34269748,,7000000,Thriller,,,Lionsgate,False,False
219,Heathers,1988,1166207,,3000000,Comedy,,,New World Pictures,False,False
220,Wet Hot American Summer,2001,295206,,5000000,Comedy,,,Eureka Pictures,False,False
221,Idiocracy,2006,495303,,30000000,Comedy,,,20th Century Fox,False,False
222,The Boondock Saints,1999,38256,,6000000,Action,,,Franchise Pictures,False,False
223,The Room,2003,0,,0,Drama,,,Les Films du Carrosse,False,False
224,The Princess Bride,1987,30900000,,16000000,Adventure,,,The Princess Bride,False,False
225,Labyrinth,1986,12729917,,25000000,Adventure,,,Henson Associates,False,False
226,The Dark Crystal,1982,44626631,,15000000,Adventure,,,ITC Entertainment,False,False
227,Tron,1982,33002371,,17000000,Science Fiction,,,Lisberger/Kushner Productions,False,False
228,Fear and Loathing in Las Vegas,1998,10700000,,18500000,Adventure,,,Summit Entertainment,False,False
229,Bring It On,2000,90449929,,28000000,Comedy,,,Universal Pictures,False,False
230,Jennifer's Body,2009,31556061,,16000000,Horror,,,Fox Atomic,False,False
231,Hocus Pocus,1993,51663767,,28000000,Fantasy,,,Walt Disney Pictures,False,False
232,The Iron Giant,1999,23300000,,50000000,Animation,,,Warner Bros. Feature Animation,False,True
233,Treasure Planet,2002,109578115,,140000000,Science Fiction,,,Walt Disney Pictures,False,True
234,Children of Men,2006,70595464,,76000000,Science Fiction,,,Universal Pictures,False,False
235,Snatch,2000,83557872,,100000000,Crime,,,SKA Films,False,False
236,"Lock, Stock and Two Smoking Barrels",1998,28356188,,1350000,Comedy,,,The Steve Tisch Company,False,False
237,Trainspotting,1996,71981823,,4000000,Drama,,,Figment Films,False,False
238,Requiem for a Dream,2000,7390108,,4500000,Crime,,,Artisan Entertainment,False,False
239,Dredd,2012,41037742,,50000000,Action,,,Rena Film,False,False
240,Edge of Tomorrow,2014,370541256,,178000000,Action,,,RatPac Entertainment,False,False
241,Blade Runner 2049,2017,259239658,,150000000,Science Fiction,,,Alcon Entertainment,False,False
242,The Nice Guys,2016,71261763,,50000000,Comedy,,,Silver Pictures,False,False
243,Annihilation,2018,43070915,,40000000,Science Fiction,,,Paramount Pictures,False,False
244,Sorry to Bother You,2018,18200000,,3200000,Fantasy,,,Cinereach,False,False
245,Swiss Army Man,2016,5800000,,3000000,Comedy,,,BlackBird,False,False
246,The Lighthouse,2019,18262464,,11000000,Drama,,,RT Features,False,False
247,Mandy,2018,1653784,,6000000,Fantasy,,,SpectreVision,False,False
248,Hackers,1995,7563728,,20000000,Action,,,Suftley,False,False
249,Empire Records,1995,303841,,10000000,Comedy,,,Regency Enterprises,False,False
250,Dazed and Confused,1993,8259076,,6900000,Comedy,,,Gramercy Pictures,False,False
251,This Is Spinal Tap,1984,6051884,,2500000,Comedy,,,Spinal Tap Prod.,False,False
252,Brazil,1985,9953708,,15000000,Comedy,,,Embassy International Pictures,False,False
253,Repo Man,1984,2300000,,1500000,Comedy,,,Edge City Productions,False,False
254,Withnail and I,1987,1544889,,0,Comedy,,,Handmade Films,False,False
255,A Clockwork Orange,1971,27033812,,2200000,Science Fiction,,,Polaris Productions Limited,False,False
256,Eraserhead,1977,7000000,,100000,Horror,,,AFI,False,False
257,Harold and Maude,1971,0,,1200000,Comedy,,,Paramount Pictures,False,False
258,John Carter,2012,284100000,,263700000,Action,,,Walt Disney Pictures,False,False
259,The Lone Ranger,2013,260502115,,215000000,Action,,,Walt Disney Pictures,False,False
260,Cutthroat Island,1995,16000000,,102000000,Action,,,Carolco Pictures,False,False
261,Heaven's Gate,1980,3484331,,44000000,Drama,,,United Artists,False,False
262,Waterworld,1995,264218220,,175000000,Adventure,,,Gordon Company,False,False
263,Ishtar,1987,14375181,,51000000,Comedy,,,Columbia Pictures,False,False
264,Battlefield Earth,2000,29725663,,44000000,Science Fiction,,,Franchise Pictures,False,False
265,The Adventures of Pluto Nash,2002,7103973,,100000000,Action,,,Village Roadshow Pictures,False,False
266,Mars Needs Moms,2011,39000000,,150000000,Adventure,,,Walt Disney Pictures,False,True
267,Gigli,2003,7266209,,75600000,Comedy,,,Casey Silver Productions,False,False
268,Catwoman,2004,82102379,,100000000,Action,,,Village Roadshow Pictures,False,False
269,The 13th Warrior,1999,61698899,,120000000,Adventure,,,Touchstone Pictures,False,False
270,Sahara,2005,119269486,,130000000,Action,,,Baldwin Entertainment Group,False,False
271,Final Fantasy: The Spirits Within,2001,85131830,,137000000,Action,,,Chris Lee Productions,False,True
272,Speed Racer,2008,93900000,,120000000,Family,,,Warner Bros. Pictures,False,False
273,Jupiter Ascending,2015,184000000,,176000000,Science Fiction,,,Warner Bros. Pictures,False,False
274,Tomorrowland,2015,209200000,,190000000,Adventure,,,Walt Disney Pictures,False,False
275,The Golden Compass,2007,372234864,,180000000,Adventure,,,Depth of Field,False,False
276,Pan,2015,128388320,,150000000,Fantasy,,,Moving Picture Company,False,False
277,King Arthur: Legend of the Sword,2017,149175066,,175000000,Action,,,Village Roadshow Pictures,False,False
278,Valerian and the City of a Thousand Planets,2017,225973340,,177200000,Adventure,,,Belga Films,False,False
279,Ben-Hur,2016,94061311,,100000000,Action,,,Metro-Goldwyn-Mayer,False,False
280,Monster Trucks,2016,64493915,,125000000,Action,,,Nickelodeon Movies,False,False
281,A Wrinkle in Time,2018,132675864,,103000000,Adventure,,,Whitaker Entertainment,False,False
282,Cats,2019,77276321,,95000000,Fantasy,,,Universal Pictures,False,False
283,The Happening,2008,163403799,,60000000,Thriller,,,20th Century Fox,False,False
284,Green Lantern,2011,219851172,,200000000,Adventure,,,De Line Pictures,False,False
285,R.I.P.D.,2013,61600000,,130000000,Fantasy,,,Universal Pictures,False,False
